,,,,Normalized abundance,,,,,,,,,,,,
,,,,Mock,,,Vir,,,Avr,,,,,,
Accession,Unique peptides,Confidence score,Description,DES7493A2MA3__002-Mock-PEX1,DES7493A3MA3__003-Mock-PEX2,DES7493A4MA3__004-Mock-PEX3,DES7493A6MA3__006-Vir-PEX1,DES7493A7MA3__007-Vir-PEX2,DES7493A8MA3__008-Vir-PEX3,DES7493A10MA3__010-Avr-PEX1,DES7493A11MA3__011-Avr-PEX2,DES7493A12MA3__012-Avr-PEX3,ratio VirPEX/MockPEX,ratio AvrPEX/MockPEX,ttest VirPEX/MockPEX,ttest AvrPEX/MockPEX
AT1G07110.1,1,31.22,"| Symbols: F2KP, ATF2KP, FKFBP | fructose-2,6-bisphosphatase | chr1:2178363-2183980 REVERSE LENGTH=744",0,0,0,5704,6765,7066,11908,11362,11719,#DIV/0!,#DIV/0!,0.0040,0.0002
AT5G35100.1,1,48.55,| Symbols:  | Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein | chr5:13360459-13361377 REVERSE LENGTH=281,0,0,0,7917,7998,6839,25798,21832,24859,#DIV/0!,#DIV/0!,0.0024,0.0024
AT4G16500.1,1,43,| Symbols:  | Cystatin/monellin superfamily protein | chr4:9301530-9301883 REVERSE LENGTH=117,0,0,0,6810,6404,4287,17786,17252,16805,#DIV/0!,#DIV/0!,0.0175,0.0003
AT5G51090.1,1,24.24,| Symbols:  | unknown protein; Has 1 Blast hits to 1 proteins in 1 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 1; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr5:20772237-20773194 REVERSE LENGTH=131,0,0,0,9737,10233,11271,3052,2273,4122,#DIV/0!,#DIV/0!,0.0019,0.0278
AT3G23160.1,1,19.02,| Symbols:  | Protein of unknown function (DUF668) | chr3:8260059-8261654 REVERSE LENGTH=531,42,238,0,107075,108338,112161,97591,88606,93765,1167.15,997.51,0.0002,0.0008
AT5G16170.1,1,16.5,"| Symbols:  | Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein | chr5:5277926-5279751 FORWARD LENGTH=411",2161,1941,349,242466,215019,222074,132055,118555,134590,152.66,86.53,0.0013,0.0014
AT2G38040.1,1,29.34,| Symbols: CAC3 | acetyl Co-enzyme a carboxylase carboxyltransferase alpha subunit | chr2:15917612-15920749 FORWARD LENGTH=769,0,0,328,11942,16651,10313,45635,45391,43806,118.64,411.17,0.0209,0.0001
AT1G12230.1,1,20.01,| Symbols:  | Aldolase superfamily protein | chr1:4148050-4150708 FORWARD LENGTH=405,641,40,0,21186,21405,22097,16721,18081,17466,94.91,76.69,0.0000,0.0000
