,,,,,Normalized abundance,,,,,,,,,,,,,,,
,,,,,Mock (10 mM MgCl2),,,Vir (Virulent PstDC3000),,,,Avr (Avirulent PstDC3000/avrRpt2),,,,,,,,
Accession,Peptides used for quantitation,Confidence score,Anova (p),Description,VLC6952A2MA3__002-MockPEX3,VLC6952A3MA3__003-MockPEX4,VLC6952A4MA3__004-MockPEX6,VLC6952A6MA3__006-VirPEX3,VLC6952A7MA3__007-VirPEX4,VLC6952A8MA3__008-VirPEX5,VLC6952A9MA3__009-VirPEX6,VLC6952A11MA3__011-AvrPEX3,VLC6952A12MA3__012-AvrPEX4,VLC6952A13MA3__013-AvrPEX5,VLC6952A14MA3__014-AvrPEX6,ratio VirPEX/MockPEX,ratio AvrPEX/MockPEX,ttest VirPEX/MockPEX,ttest AvrPEX/MockPEX,
ATCG00490.1;AT2G07732.1;ATMG00280.1,14,869,0.202182038,| Symbols: RBCL | ribulose-bisphosphate carboxylases | chrC:54958-56397 FORWARD LENGTH=479,17830192,26993546,27678002,23307975,19176351,13263471,25166792,20496514,31246761,33985302,28400621,0.84,1.18,0.39007,0.3611,
AT3G05900.1,10,514,2.88E-07,| Symbols:  | neurofilament protein-related | chr3:1761408-1763854 REVERSE LENGTH=673,17085134,14492334,10037579,1185167,774201,1085875,872184,320070,379857,632198,422154,0.07,0.03,0.02434,0.02258,
ATCG00480.1,10,641,0.00359096,"| Symbols: ATPB, PB | ATP synthase subunit beta | chrC:52660-54156 REVERSE LENGTH=498",3798988,5564732,3452277,1438975,993525,1808049,2932043,418173,1193115,963352,1054541,0.42,0.21,0.03895,0.02918,
AT3G52960.1,8,589,4.61E-05,| Symbols:  | Thioredoxin superfamily protein | chr3:19639699-19640403 FORWARD LENGTH=234,235356,236439,259168,2416677,2613194,906383,2545263,2120295,3018194,4351214,2776059,8.7,12.59,0.01913,0.00915,
AT5G40450.1,7,472,9.76E-08,"| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast, plasma membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; Has 30201 Blast hits t",2034001,1588824,927341,59305,29709,27939,36482,8318,12045,12548,9963,0.03,0.01,0.04412,0.04267,
AT2G39730.1;AT2G39730.2,7,388,3.64E-05,| Symbols: RCA | rubisco activase | chr2:16570951-16573345 REVERSE LENGTH=474,1827606,6476238,9142866,248341,179338,605256,225872,62110,68797,98239,98566,0.05,0.01,0.1233,0.1154,
AT3G19170.1;AT1G49630.1;AT3G19170.2,7,349,0.000551816,"| Symbols: ATPREP1, ATZNMP, PREP1 | presequence protease 1 | chr3:6625578-6631874 REVERSE LENGTH=1080",1288448,985517,763806,383621,280863,1045880,615245,111945,146765,185852,136162,0.57,0.14,0.11766,0.02833,
AT1G09340.1,7,351,0.004228964,"| Symbols: CRB, CSP41B, HIP1.3 | chloroplast RNA binding | chr1:3015473-3018035 FORWARD LENGTH=378",1620319,1357636,1405068,2811523,2051653,6020155,4298132,1005244,1180817,1694850,1149140,2.6,0.86,0.07543,0.29396,
AT1G03680.1,6,367,1.78E-08,"| Symbols: ATHM1, TRX-M1, ATM1, THM1 | thioredoxin M-type 1 | chr1:916990-917865 REVERSE LENGTH=179",83568,46441,44057,467525,556639,278177,431223,8684818,10624291,11773723,9374709,7.47,174.32,0.00608,0.00068,
AT5G52310.1,6,327,2.95E-06,"| Symbols: COR78, LTI78, RD29A, LTI140 | low-temperature-responsive protein 78 (LTI78) / desiccation-responsive protein 29A (RD29A) | chr5:21240929-21243326 FORWARD LENGTH=710",1909681,1383299,706298,141783,75650,105274,126785,49267,39288,57886,44297,0.08,0.04,0.0724,0.06619,
AT1G06680.1;AT2G30790.1,6,422,3.29E-05,"| Symbols: PSBP-1, OEE2, PSII-P, OE23 | photosystem II subunit P-1 | chr1:2047940-2049186 FORWARD LENGTH=263",918792,1032888,2817343,4220862,4155966,4940102,5422922,14333536,19358950,19254894,15027954,2.95,10.69,0.02066,0.00041,
ATCG00120.1,6,258,0.000119537,| Symbols: ATPA | ATP synthase subunit alpha | chrC:9938-11461 REVERSE LENGTH=507,5316250,8701542,6822797,2012649,1239218,2274431,2982215,775263,1058626,1426502,979112,0.31,0.15,0.02711,0.02473,
AT1G16080.1,6,270,0.000151887,"| Symbols:  | unknown protein; LOCATED IN: apoplast, chloroplast stroma, chloroplast, chloroplast envelope; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; Has 81 Blast hits to 81 proteins in 28 species: Archae - 0; Bacteria -",2230255,1709524,1402054,582666,480234,1128472,742654,218103,323394,357232,330157,0.41,0.17,0.02758,0.02435,
AT5G66190.1,6,321,0.000176004,"| Symbols: ATLFNR1, FNR1 | ferredoxin-NADP(+)-oxidoreductase 1 | chr5:26451203-26453012 REVERSE LENGTH=360",7464289,5703414,5241247,2108369,1366326,2982067,2620011,895824,1180870,1564915,1303732,0.37,0.2,0.01403,0.01548,
AT2G04030.1;AT3G07770.1,6,241,0.000360695,"| Symbols: CR88, EMB1956, HSP90.5, Hsp88.1, AtHsp90.5 | Chaperone protein htpG family protein | chr2:1281983-1285909 FORWARD LENGTH=780",835288,927810,964298,384194,281802,684287,492214,193714,228240,279721,241801,0.51,0.26,0.00852,0.0007,
AT5G26000.1,6,370,0.000389207,"| Symbols: TGG1, BGLU38 | thioglucoside glucohydrolase 1 | chr5:9079678-9082347 REVERSE LENGTH=541",4313797,4923788,5455492,1660224,1300321,1066200,1705967,798804,1510532,1888568,1381790,0.29,0.28,0.00298,0.00123,
AT5G09650.1,6,377,0.002108838,"| Symbols: AtPPa6, PPa6 | pyrophosphorylase 6 | chr5:2991331-2993117 REVERSE LENGTH=300",7296970,5638669,5647415,5988295,4449503,10537101,7318381,1710801,2088285,3627771,2179405,1.14,0.39,0.5662,0.00511,
AT1G32470.1;AT2G35370.1,6,523,0.003470492,| Symbols:  | Single hybrid motif superfamily protein | chr1:11739479-11740246 REVERSE LENGTH=166,1219619,2287179,1063903,3184055,4569526,7806390,8091057,2585008,3347679,3361733,3417059,3.88,2.09,0.03089,0.03039,
AT3G55440.1,6,411,0.324326092,"| Symbols: ATCTIMC, TPI, CYTOTPI | triosephosphate isomerase | chr3:20553794-20556078 FORWARD LENGTH=254",1807445,1187892,996919,1417689,798079,2380248,2244908,678149,1159944,1323233,990294,1.29,0.78,0.43366,0.36821,
AT3G16470.1;AT3G16470.3,5,352,3.84E-06,| Symbols: JR1 | Mannose-binding lectin superfamily protein | chr3:5596096-5597709 REVERSE LENGTH=451,4227366,6407860,7579913,1124978,805886,1739760,1278916,132693,179085,315454,241308,0.2,0.04,0.03464,0.02685,
AT1G20620.1;AT1G20620.4;AT1G20630.1;AT4G35090.1,5,178,0.000126881,"| Symbols: CAT3, SEN2, ATCAT3 | catalase 3 | chr1:7143142-7146193 FORWARD LENGTH=492",603601,1514006,1829721,194138,142189,152982,143319,218097,207119,298663,295416,0.12,0.19,0.08759,0.10134,SABP
AT1G65930.1;AT1G54340.1,5,259,0.000222742,| Symbols: cICDH | cytosolic NADP+-dependent isocitrate dehydrogenase | chr1:24539088-24541861 FORWARD LENGTH=410,763793,1031236,1358210,237122,127317,551196,296919,52158,76220,118632,73726,0.29,0.08,0.02925,0.02926,
AT4G09000.1;AT4G09000.2,5,540,0.000224434,"| Symbols: GRF1, GF14 CHI | general regulatory factor 1 | chr4:5775387-5777157 FORWARD LENGTH=267",2114132,1976164,2518951,838880,595441,980279,1002544,337712,529590,741639,502178,0.39,0.24,0.00403,0.00262,
AT5G42980.1,5,238,0.000287239,"| Symbols: ATTRX3, ATH3, ATTRXH3, TRXH3, TRX3 | thioredoxin 3 | chr5:17242772-17243718 FORWARD LENGTH=118",836289,934527,620963,2219957,2522683,3350833,5273719,2336557,3065168,3087898,2755640,4.19,3.53,0.03295,0.00033,
AT5G38480.1;AT5G38480.2,5,456,0.000553633,"| Symbols: GRF3, RCI1 | general regulatory factor 3 | chr5:15410277-15411285 FORWARD LENGTH=255",1147755,933698,1010508,479104,377475,613929,604912,290333,394244,484642,383177,0.5,0.38,0.0024,0.00164,
AT1G55490.1;AT5G56500.1,5,320,0.00076599,"| Symbols: CPN60B, LEN1 | chaperonin 60 beta | chr1:20715717-20718673 REVERSE LENGTH=600",2568793,2355331,1719738,340074,214286,911963,655835,282849,312200,368748,287238,0.24,0.14,0.0074,0.01704,
AT2G37660.1,5,248,0.001213362,| Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr2:15795481-15796977 REVERSE LENGTH=325,1396637,1058752,744296,2239516,1745965,4181156,3061626,568344,712630,1027975,662715,2.63,0.7,0.04074,0.22287,
AT1G32060.1,5,324,0.001332806,| Symbols: PRK | phosphoribulokinase | chr1:11532668-11534406 FORWARD LENGTH=395,5871246,4210803,3034082,1377101,880856,2446570,1836784,976103,1112655,1130449,1034576,0.37,0.24,0.06321,0.05641,
AT1G62480.1,5,396,0.001517927,| Symbols:  | Vacuolar calcium-binding protein-related | chr1:23128799-23129548 FORWARD LENGTH=152,5203282,16331420,14889185,2415961,2086773,932516,1722159,1679260,2101321,3293077,2665870,0.15,0.2,0.09633,0.10738,
AT4G24770.1,5,182,0.005412816,"| Symbols: RBP31, ATRBP31, CP31, ATRBP33 | 31-kDa RNA binding protein | chr4:12766223-12767952 REVERSE LENGTH=329",1074944,1563622,853704,237251,258501,518730,563615,432771,548840,522085,509092,0.34,0.43,0.05067,0.08565,
AT5G50920.1;AT3G48870.1,5,163,0.00887552,"| Symbols: CLPC, ATHSP93-V, HSP93-V, DCA1, CLPC1 | CLPC homologue 1 | chr5:20715710-20719800 REVERSE LENGTH=929",317296,539838,706496,329047,362345,580735,722738,817582,1496054,1695145,1258466,0.96,2.53,0.88471,0.01739,
AT1G18210.1,5,325,0.011735776,| Symbols:  | Calcium-binding EF-hand family protein | chr1:6268273-6268785 REVERSE LENGTH=170,9721,16677,82797,97642,75884,15343,91264,217060,243233,296198,231712,1.92,6.79,0.32043,0.00191,
AT1G75040.1,5,431,0.021276114,"| Symbols: PR5, PR-5 | pathogenesis-related gene 5 | chr1:28177754-28178731 FORWARD LENGTH=239",1550209,3787336,3839723,2612685,1974835,1357725,2594202,1048782,1175521,1420186,1061620,0.7,0.38,0.34771,0.12826,
